Phrases,Translation
日を追って暖かくなってきた。,It is getting warmer day by day.
年を追って成熟してきた。,With each passing year she has become more mature.
流行を追う。,Follow the fashion.
予習に追われる。,Be busy with preparations for school.
地位を追われる。,Be ousted from one's post.
故郷を追われた。,I was driven out of my hometown.
国を追われる。,Be exiled from one's country.
獲物を追う。,Chase game.
泥棒を追う。,Pursue a thief.
追う者と追われる者。,the pursuer and the pursued
トンネルを過ぎて車は海岸に出た。,"Passing through a tunnel, the car came to a beach."
彼は30を過ぎている。,He is over thirty.
この荷物は20キロを過ぎている。,This baggage exceeds [is over/is above] twenty kilograms.
約束の時間を過ぎているのに彼女はまだ来ない。,"It is past the time we agreed on, but she hasn't come yet."
３年過ぎて。,Three years later.
あれから５年が過ぎた。,Five years have passed [elapsed] since then.
それはもう過ぎたことだ。,It is a thing of the past.
過ぎたことは仕方がない。,What's done cannot be undone.
夏休みが過ぎた。,The summer vacation is over.
男盛りが過ぎた。,He is past his prime.
私の免許証の期限は３日前に過ぎていた。,My license had expired three days before.
答えを全部書き終わらないうちに時間が過ぎた。,Time ran out before I finished writing all the answers.
彼はわがままが過ぎる。,He is too willful.
ちょっと冗談が過ぎたね。,You carried your joke a bit too far.
お前には過ぎた女房だ。,She is too good a wife for you.
飲み過ぎる。,Drink too much.
世話を焼き過ぎる。,fuss unnecessarily over a person
この本は難し過ぎてわからない。,This book is too difficult for me to understand.
いすが一つ多過ぎる。,There is one chair too many.
荷物が２キロ重過ぎます。,Your luggage is two kilograms over the weight limit.
このスーツケースは重過ぎる。,This suitcase is overweight.
彼は働き過ぎて病気になった。,He overworked and fell ill.
親には孝行し過ぎるということはない。,You cannot be too good to your parents.
彼は熱心過ぎる。,He is too [overly/excessively] enthusiastic.
先生は授業を始めた。,The teacher began his lesson.
すぐに食べ始めた。,He began 「to eat [eating] right away.
雨が降り始めた。,It began [started] to rain.
彼は商売を始めた。,He started a business.
油絵［ゴルフ］を始める。,take up painting [golf]
20ページから始めよう。,Let's begin on page twenty.
あなたから始めて下さい。,You go first.
花が咲き始めた。,The flowers are coming out.
川は市内を流れている。,The river flows through the city.
岩の上を水がちょろちょろ［勢いよく］流れていた。,Water was 「trickling down [gushing] over the rocks.
鼻から血が流れていた。,He was bleeding at the nose.
涙がほおを流れた。,Tears streamed down her cheeks.
橋が流れた。,The bridge was carried [washed] away.
木片が川を流れてきた。,A piece of wood came floating [drifting] down the river.
雲が走るように［ゆっくりと］流れていく。,Clouds are racing [drifting] across the sky.
肉を焼くにおいが流れてきた。,The smell of roasting meat came drifting [wafting] through the air.
一座に友好的な空気が流れていた。,A friendly atmosphere prevailed among those present.
そんなうわさが流れているのですか。,Is there such a rumor going around?
町中に怪文書が流れている。,A mysterious [strange] document is being circulated throughout the town.
歳月は流れて，そのことは忘れられてしまった。,With the lapse of time the event was forgotten.
それから10年の月日が流れた。,Ten years have passed since then.
彼は北から南に流れて行った,He wandered [drifted] from north to south.
会が流れた。,The meeting fell through.
ナイターは雨のために流れた。,The night game was rained out.
弾が流れた。,The shot went astray.
ボールは左に大きく流れた。,The ball strayed off far to the left.
体操選手は着地した時，左足が流れた。,"When the gymnast landed, his left foot slipped."
事はすべてスムーズに流れている。,Everything is going well [smoothly].
テレビの画面が流れている。,The image on the TV screen is flickering.
抵当物が流れた。,The mortgage was foreclosed [forfeited].
狭いアパート暮らしから脱出する。,Escape from living in a small apartment.
市場の拡大を図っている。,They are planning ways to expand their market.
彼は再挙を図った。,He tried to recover his lost standing.
公益を図る。,Work for the good of the public.
私利を図る。,Try to advance one's own interests.
彼らは友達と手を取り合って喜んだ。,They grasped their friends' hands and rejoiced.
彼は友達と１つのゲームを取り合った。,He and his friends fought over one game.
彼は訪問者をまったく取り合わなかった。,He completely neglected his guests.
先生はその生徒から漫画を取り上げた。,The teacher confiscated the pupil's comic book.
その新製品は多くの週刊誌で取り上げられた。,Talk of that new product was in many weekly newsmagazines.
彼はいろいろな記念切手を取り集めた。,He collected all kinds of commemorative stamps.
彼は取引先に取り入った。,He curried favor with his client.
その国は外国の文化をどんどん取り入れた。,That country eagerly absorbed a lot of cultural elements from other nations.
その本は以前に読んだことがあります。,I have read the book before.
前もって席を予約しなさい。,Reserve a seat in advance.
私は人前で歌わされた。,I was made to sing in public.
名前をすっかり忘れてしまいました。,I quite forget your name.
寝る前には明かりを消して下さい。,Please put out the light before you go to sleep.
その列車は午前７時１５分に発車する。,The train departs at 7:15 a.m.
あの信号の手前で降ろしてください。,Please let me off on this side of that traffic light.
私たちはその基礎となっている前提を理解すべきだった。,We should understand the underlying premises.
前進命令を待っていた。,They were waiting for the go-ahead.
子供たちが迷惑をかけるのは当たり前だ。,It is common for children to cause trouble.
腕を前後に振りなさい。,Swing your arm back and forth.
試合の直前にはいつもあがっています。,I always get nervous just before a match.
彼女の料理の腕前は上がってきている。,She's making progress in cooking.
私たちの前途には幾多の困難が横たわっている。,There lie many difficulties before us.
事前に予約を取っておくべきだ。,We'd better make a reservation beforehand.
アメリカも本音と建前を使い分ける国だ。,The U.S. is also a country that uses both real intentions and pretense.
大きな乗用車が止まり、背の高い女性が降りた。,A big car drew up and a tall lady got out.
バスの運転手は乗客の安全について責任がある。,A bus driver is responsible for the safety of the passengers.
乗務員全員が食中毒で苦しんだ。,The entire crew suffered from food poisoning.
彼は乗馬を仕込まれた。,He was brought up to riding.
ちょうどいいね。新型の試乗してってもらうね。,Good timing. I'll get you to test drive the new model.
韓流ドラマブームに便乗して、韓国の製品を売る業者が増えた。,"Taking advantage of the popular boom in Korean drama, workers selling Korean goods have increased."
２人の女性が乗船していた。,There were two women on board.
途中で乗り換えが必要ですか。,Is it necessary to change trains along the way?
帰宅の途中電車の中で居眠りをして乗り越してしまった。,I dozed off on the train on my way home and missed the train.
万一この飛行機が乗っ取られたら、君は一体どうするだろうか。,"If this airplane were to be hijacked, what in the world would you do?"
道路は様々な乗物で混雑していた。,The road was crowded with various vehicles.
私が乗り込むやいなや、汽車は動き出した。,I had barely got aboard when the train began to move.
ホテルまでに車に乗せてくれませんか。,Will you give me a ride to my hotel?
バスは乗客を乗せるために止まった。,The bus stopped to take up passengers.
明日の朝立ち寄ってあなたを車に乗せていきましょう。,I'll come by and pick you up tomorrow morning.
彼は金沢行きの列車に乗った。,He got on a train bound for Kanazawa.
その一件はめでたく落着するだろう。,The affair will come to a happy conclusion.
その用件は明日まで待てますか。,Can the matter wait till tomorrow?
そちらの条件を受け入れましょう。,We will accept your conditions.
この案件をどう処理するか、君に下駄を預けるよ。,I'm just going to leave it up to him to figure out how to clean up this mess.
交通事故の件数が増加している。,There has been an increase in the number of traffic accidents.
その事件によって彼の勇敢さが試された。,That incident put his courage to the test.
利用条件を予告なしに変更することがあります。,Terms of use may be changed without notice.
彼らは労働条件を改善したがっている。,They want to better their working conditions.
無条件でその計画に同意した。,We agreed to the plan without qualification.
私は高校の全課程を修了した。,I completed the whole high school curriculum.
私は修学旅行を大変楽しみにしている。,I am looking forward very much to the school excursion.
彼女は３年前に修士の学位をとりました。,She got a master's degree three years ago.
研修会は午後４時開始の予定。,The training session is scheduled to begin at 4 p.m.
体育の授業は全員が必修です。,The physical fitness courses are required for everyone.
失礼ですが御提案を修正させていただきます。,I beg to modify your proposal.
私は彼に時計を修理させた。,I had my watch mended by him.
その城は修復され市民に公開されている。,The castle has been restored and is open to the public.
私は彼女がスカートを修繕しているのに気づいた。,I found her mending a skirt.
その本はいちばん下の棚に置いてください。,Put the book on the bottom shelf.
専門家はその絵に高い評価を下した。,Experts put a high valuation on the painting.
７時から８時の間に電話してください。,Please call me up between seven and eight.
彼が階下に降りて来るのが聞こえた。,We heard him come downstairs.
お茶の質は下がりつつある。,The quality of tea is going down.
その店では傷物の値段を４０パーセント下げた。,They marked the damaged goods down by 40%.
いつ来てくださっても準備はできています。,I'm ready whenever you may come.
私は毎朝銀座で地下鉄に乗る。,I get on the subway every morning at Ginza.
彼はスーツにあう靴下を選んだ。,He selected a pair of socks to match his suit.
地下はショッピング街です。,There is a shopping district underground.
廊下は大変混雑していたので歩けなかった。,The corridor was so crowded that we couldn't walk.
今朝は零下３度以下だった。,The thermometer stood at three degrees below zero this morning.
この国では出生率が急速に低下している。,The birthrate is rapidly declining in this country.
学生でも下宿させてもらえますか。,Do you take in students?
彼は叔母さんの家に下宿していた。,He boarded with his aunt.
下痢をしています。,I have diarrhea.
その事故は下手な運転のせいだった。,The accident was due to bad driving.
この時計は非常に価値がある。,This watch is of great value.
この表の数値は千単位で示されている。,The figures in this table are shown in thousands.
周波数の平均値は振幅の増大にしたがって減じる。,The mean value of the frequency decreases with increasing amplitude.
その店は値段が高いので有名だ。,The store is notorious for charging high prices.
この本は読む値打ちがあるとおもう。,I think this book is worth reading.
彼女は値切るのがうまいんだ。,She's good at bargaining the price down.
価格を値引きする店もあります。,Some stores discount the price.
冬は新鮮な野菜は高値である。,Fresh vegetables are very dear in winter.
彼の提案は考慮に値する。,His proposal is worthy to be considered.
その論文は注意深く研究するのに値する。,The article deserves careful study.
社会の価値観はその伝統の中に反映されている。,A society's values are reflected in its traditions.
たまには偏差値の高い人とレベルの高い会話してみたい。,I like to have a deep conversation with a more academic person from time to time.
バス代が２０％値上げになった。,The bus fares have been raised by 20 percent.
４月から公共料金が値上げになる。,Public utility charges will go up next April.
学校は授業料の値上げを発表した。,They announced an increase in tuition fees.
来月から家賃を値上げします。,We will increase the rent next month.
東京証券取引所は後場の終わり値になって持ち直しました。,The Tokyo Stock Exchange rallied at the end of the day.
嵌められた気がしてならない。,I can't help but feel like I'm being set up.
そうするといやが上にも美しく見える。,That makes you even more attractive.
そうするとよけい傷をとがめるよ。,It will aggravate the wound.
そうすると金がその２倍かかるだろう。,It would cost twice as much as that.
彼は会う人ごとに話しかけた。,He spoke to whomever he met.
２時間毎に局部を湿布しなさい。,Apply a compress to the affected part every two hours.
電車は３０分ごとに走っている。,The train runs every thirty minutes.
食前ごとにこの薬を飲みなさい。,Take this medicine before each meal.
そのうわさは果たして本当だろうか。,Can the rumor be true?
これははたして彼の書いた物だろうか。,Can this be his writing?
夏は来たがやがて去る。,"As the summer has come, so it will go."
物価はやがて上がるだろう。,Prices will rise in course of time.
秘密はやがて明らかになるだろう。,The secret will emerge in due course of time.
やがて彼が部屋に入ってきた。,Before long he came into the room.
彼の顔は怖そうに見える反面声は優しくおだやかだった。,"In contrast to his frightening looks, his voice was kind and calm."
彼はいわゆる天才ではない。むしろ彼は努力家なのだ。,"He is not what is called a genius. Rather, he is a hard worker."
彼の研究はいわゆる事実に基づいている。,His study is based on what is called fact.
これはいわゆる斬新なアイデアです。,"This is what we call a ""brand new idea""."
彼が貧しいからといって不幸だということにはならない。,"Just because he is poor, it does not follow that he is unhappy."
体積が大きいからといって常に重量も重いとは限らない。,Great bulk does not always mean great weight.
おいしいからといってなんでも食べ過ぎてはいけない。,You must not eat too much of anything because it tastes good.
彼女が美しいからといって彼女を好きなわけではない。,It is not because she is beautiful that I like her.
生徒はみんな校則を知っていることになっている。,Every pupil is supposed to know the school regulations.
今晩小さなパーティーをひらくことになっている。,We are giving a small party this evening.
今は焦らずに時を待つべきだ。,We should not be in a hurry now but wait for the right time.
英語を習得する努力を続けるべきだ。,You should persist in your efforts to learn English.
君は彼に本当のことを言うべきだった。,You should have told him the truth.
書籍が学問に従うべく学問が書籍に従うべからず。,"Books must follow sciences, and not sciences books."
