Words,Reading,Meaning,Sentences,Translation
向ける,,"to turn towards, to point",彼はカメラを私に向けた。,He turned his camera on me.
向ける,,"to turn towards, to point",彼は東京に向けて出発した。,He set out for Tokyo.
開く,,to open,机の引き出しが開いている。,The desk drawer is open.
はず,,should happen (expectation),その汽車は１０時までに大阪に着くはずだ。,The train should reach Osaka by ten.
母,,mother,母は忙しそうに料理をしていた。,The mother seemed busy cooking.
ために,,"for, for the sake of, because of",交換のために返却したいと思います。,I would like to return it to you for replacement.
すると,,"thereupon, hereupon",私はちょうど出かけようとしていた、すると雨が降りだした。,"I was just going out, when it began to rain."
どうして,,"why, in what way, how",どうしてそんな危険を犯すのですか。,Why do you take such a risk?
どうして,,"why, in what way, how",どうして君は何も話さないのか。,How come you say nothing?
神,,god,彼は神にあわれな少女を助けてくださいと祈った。,He prayed to God to help the poor girl.
背,,"back, spine",彼はペンを置いて椅子に背をもたらせた。,He laid down his pen and leaned back in his chair.
まあ,,"just, now, well..",まあ、直ぐになれますわよ。,"Oh, you'll get used to it soon!"
でしょう,,"it seems, I think, I guess, I wonder, right?",なんて美しいのでしょう。,How beautiful it is!
感じ,,"feeling, sense, impression",右目が熱い感じです。,My right eye feels hot.
興奮,,"excitement, stimulation, agitation, arousal",彼は興奮を抑えられなかった。,He could not restrain his excitement.
抑える,,"to keep within limits, to restrain, to hold back",私は笑いたいのを抑えられなかった。,I could not subdue the desire to laugh.
収まる,,"to fit into, to be contained within, to settle down",興奮が収まらない。,I can't stop the excitement.
収める,,"to dedicate, to pay, to supply, to store, to restore, to finish",私たちは税金を納めなければならない。,We must pay the tax.
解放感,,"sense of liberation, feeling of freedom",解放感が強いです。,There is a strong sense of liberation.
解放,,"release, unleashing, liberation, deallocation",彼女は不眠症から解放された。,She was relieved from insomnia.
常連,,"regular customer, frequenter",彼はこの喫茶店の常連だ。,He is a regular customer at this coffee shop.
冴える,,"to be clear, bright, vivid, crisp, clear-headed, alert, upbeat, excel, master",コーヒーを一杯飲むと頭が冴える。,I feel more alert after drinking a cup of coffee.
冴える,,"to be clear, bright, vivid, crisp, clear-headed, alert, upbeat, excel, master",満月が空にさえている。,A full moon is shining bright in the sky.
冴える,,"to be clear, bright, vivid, crisp, clear-headed, alert, upbeat, excel, master",彼女は頭のさえた人だ。,She is a clear-headed.
鍛える,,"to forge, temper, drill, train, discipline",彼は鋼を鍛えて刀を作った。,He forged the steel into a sword.
鍛える,,"to forge, temper, drill, train, discipline",運動が筋肉を鍛える。,Exercise trains the muscles.
活性化,,"activation, stimulation, revitalization",広域的地域活性化のための基盤整備に関する法律。,Act on Infrastructure Development for Regional Revitalization
脳,,"brain, memory",人間の脳は新しい状況に適応することが出来る。,The human brain can adapt to new situations.
早まる,,"brought forward, moved up, rash, quicken",彼はその件について早まった決定をした。,He made a premature decision on the matter.
間隔,,"space, interval, whitespace",バスは２０分間隔で運行されている。,Buses are running at 20 minute intervals.
間隔,,"space, interval, whitespace",君はそれを一定の間隔を置いて練習すべきだ。,You must practice it at regular intervals.
隔てる,,"to separate, isolate, partition, interpose, estrange",二つの町は川で隔てられている。,The two towns are separated by a river.
隔離,,"isolation, segregation, separation, quarantine",私は人種隔離に反対だ。,I don't agree with segregation of people by race.
隔離,,"isolation, segregation, separation, quarantine",その伝染病患者は他の患者から隔離された。,The infectious case was isolated from other patients.
隔たる,,to be distant,その村は海から何キロも隔たっている。,The village is many kilometers away from the seashore.
隔て,,"partition, distinction",性別で人を分け隔てすべきでない。,You should not discriminate against people because of their sex.
距離,,"distance, range",ここから歩いて２時間もの距離だ。,It is no less than two hours' walk from here.
距離,,"distance, range",私は先生との距離を保つように努めた。,I tried to keep my teacher at a distance.
距離,,"distance, range",底まではとても距離があるように思える。,It seems a long way to the bottom.
距てる,,"to separate, isolate, partition, interpose, estrange",彼は私たちと道を距てた反対側に住んでいます。,He lives across the street from us.
酢,,vinegar,酢はすっぱい味がする。,Vinegar has a sharp taste.
酸素,,oxygen,水は水素と酸素で出来ている。,Water is made up of hydrogen and oxygen.
酸性,,"acidity, acidic",パイナップルやレモンのような酸性の果実はすっぱい。,Acid fruits like pineapples and lemons are sour.
酸っぱい,すっぱい,"sour, acid",腐った牛乳は酸っぱい。,Bad milk tastes sour.
二酸化炭素,にさんかたんそ,carbon dioxide,二酸化炭素の量は１０％増加している。,The amount of carbon dioxide has increased by 10 percent.
核酸,かくさん,nucleic acid,デオキシリボ核酸は、遺伝子を作っている複雑な化学物質である。,DNA is a complex chemical that makes up a gene.
乳酸,にゅうさん,lactic acid,乳酸マグネシウムは、経口使用のために意図されています.,Magnesium lactate is intended for oral use.
意図,いと,"intention, aim, design",それはちょうど彼女が意図した通りのことだった。,That was exactly what she intended.
通り,とおり,"avenue, street, road, as expected, understanding",彼は約束通りにきた。,He came according to his promise.
通り,とおり,"avenue, street, road, as expected, understanding",彼は言われた通りにした。,He did what he was told.
通り,とおり,"avenue, street, road, as expected, understanding",参加者のリストは次のとおりです。,The list of participants is as follows.
通り,とおり,"avenue, street, road, as expected, understanding",私の店は町の主要な通りにあります。,My shop is on the main street of the town.
通り,とおり,"avenue, street, road, as expected, understanding",彼は私の歌うとおりに歌った。,He sang the way I did.
通り,とおり,"avenue, street, road, as expected, understanding",この通りに車を駐車させてはいけない。,You must not park the car in this street.
原油,げんゆ,crude oil,その油井はたくさんの原油を産出する。,The well delivers a great deal of oil.
高騰,こうとう,"sudden price jump, steep price rise",市の中心部の地価が高騰している。,The price of land in the center of the city is soaring.
価格,かかく,price,特別価格の見積りです。,We have quoted special prices.
それほど,それほど,"to that degree, to that extent",彼はそれほど背が高くない。,He is not so tall.
漁師,りょうし,fisherman,その漁師達は網を海に投げた。,The fishermen cast their nets into the sea.
感謝,かんしゃ,"thanks, gratitude",ご親切に心から感謝します。,I sincerely appreciate your kindness.
話しかける,はなしかける,"to address someone, to talk to someone, begin to talk",通りで子供に話しかけたが子供は逃げて行ってしまった。,"I spoke to a child on the street, but the child ran away."
意志,いし,"will, volition, intention, intent, determination",彼女は自分の意志で彼と結婚したのではない。,She did not marry him of her own volition.
あちこち,あちこち,"here and there, all around",あちこち旅してるからなあ。,I've been traveling all over the place.
