Words,Reading,Meaning,Type,Sentence,Translation
潜る,くぐる,"to drive, to pass through, to evade, to hide, to dive, to go underground",,,
探る,さぐる,"to search, to look for, to sound out ",,,
殴る,なぐる,"to strike, to hit",,,
巡る,めぐる,to go around,,,
潜る,もぐる,"to drive, to pass through, to evade, to hide, to dive (into or under water), to go underground",,,
茂る,しげる,"to grow thick, to luxuriate, to be luxurious",,,
怒る,おこる,"to get angry, to be angry ",,,
残る,のこる,to remain,,,
誇る,ほこる,"to boast of, to be proud of",,,
傲る,おごる,to be proud,,,
凝る,こごる,"to congeal, to freeze",,,
濁る,にごる,"to become muddy, to get impure ",,,
腐る,くさる,"to rot, to go bad",,,
勝る,まさる,"to excel, to surpass, to outrival ",,,
飾る,かざる,to decorate,,,
走る,はしる,to run,,,
毟る,むしる,"to pluck, to pick, to tear ",,,
弄る,いじる,"to touch, to tamper with",,,
噛る,かじる,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch",,,
詰る,なじる,"to rebuke, to scold, to tell off",,,
捩る,ねじる,to twist,,,
擦る,かする,"to touch lightly, to take a percentage (from)",,,
擦る,こする,"to rub, to chafe, to file, to frost (glass), to strike (match)",,,
削る,けずる,"to cut down little by little, to take percentage",,,
譲る,ゆずる,"to turn over, to assign, to hand over",,,
焦る,あせる,"to be in a hurry, to be impatient",,,
至る,いたる,"to come, to arrive",,,
語る,かたる,"to talk, to tell, to recite",,,
来る,きたる,"to come, to arrive, to due to, to be next, to be forthcoming",,,
渡る,わたる,to go across,,,
下る,くだる,"to get down, to descend",,,
移る,うつる,to move house or transfer,,,
写る,うつる,"to be photographed, to be projected",,,
映る,うつる,"to be reflected, to harmonise with, to come out (photo)",,,
祭る,まつる,"to deify, to enshrine",,,
劣る,おとる,"to fall behind, to be inferior to",,,
悟る,さとる,"to attain enlightenment, to perceive, to understand, to discern",,,
太る,ふとる,to become fat,,,
踊る,おどる,to dance,,,
辿る,たどる,"to follow (road), to pursue (course), to follow up",,,
戻る,もどる,to turn back,,,
唸る,うなる,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough ",,,
抓る,つねる,to pinch,,,
捻る,ひねる,"to turn (a switch) on or off, to twist, to puzzle over",,,
祈る,いのる,to pray,,,
募る,つのる,"to invite, to solicit help participation etc ",,,
実る,みのる,"to bear fruit, to ripen",,,
配る,くばる,"to distribute, to deliver",,,
縛る,しばる,"to tie, to bind",,,
粘る,ねばる,"to be sticky, to be adhesive, to persevere, to persist, to stick to ",,,
炙る,あぶる,to scorch,,,
被る,かぶる,"to put on , wear, cover (one’s) head",,,
瞑る,つぶる,to close the eyes,,,
破る,やぶる,"o tear, to violate, to defeat, to smash, to destroy",,,
滑る,すべる,"to slide, to slip",,,
絞る,しぼる,"to press, to wring, to squeeze ",,,
登る,のぼる,to climb,,,
昇る,のぼる,"to arise, to ascend, to go up",,,
上る,のぼる,"to ascend, to go up, to climb",,,
余る,あまる,"to remain, to be left over, to be in excess, to be too many",,,
困る,こまる,to be worried,,,
迫る,せまる,"to draw near, to press",,,
黙る,だまる,to be silent,,,
鈍る,なまる,"to become less capable, to grow dull, to become blunt, to weaken",,,
煙る,けむる,to smoke (e.g. fire),,,
眠る,ねむる,to sleep,,,
湿る,しめる,"to be wet, to become wet, to be dump",,,
篭る,こもる,"to seclude oneself, to be confined in, to be implied, to be stuffy",,,
守る,まもる,"to protect, to obey, to guard, to abide (by the rules)",,,
曇る,くもる,"to become cloudy, to become dim",,,
頼る,たよる,"to rely on, to have recourse to, to depend on ",,,
触る,さわる,to touch,,,
障る,さわる,"to hinder, to interfere with, to affect, to do one harm, to be harmful to",,,
座る,すわる,to sit,,,
回る,まわる,to go around,,,
弱る,よわる,"to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair",,,
すれ違う,すれちがう,"to pass by one another, to disagree, to miss each other",,,
あざ笑う,あざわらう,"to sneer at, to ridicule ",,,
潤う,うるおう,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm ",,,
戦う,たたかう,"to fight, to battle, to combat",,,
扱う,あつかう,"to handle, to deal with, to treat",,,
疑う,うたがう,"to doubt, to distrust, to be suspicious of, to suspect ",,,
従う,したがう,"to abide (by the rules), to obey, to follow, to accompany",,,
争う,あらそう,"to dispute, to argue, to be at variance, to compete",,,
賄う,まかなう,"to give board to, to provide meals, to pay",,,
補う,おぎなう,to compensate for,,,
行う,おこなう,to do,,,
失う,うしなう,"to lose, to part with",,,
養う,やしなう,"to rear, to maintain, to cultivate",,,
伴う,ともなう,"to accompany, to bring with, to be accompanied by, to be involved in",,,
占う,うらなう,"to forecast, to predict",,,
整う,ととのう,"to be prepared, to be in order, to be put in order, to be arranged",,,
敬う,うやまう,"to show respect, to honour",,,
漂う,ただよう,"to drift about, to float, to hang in air",,,
繕う,つくろう,"to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim ",,,
躓く,つまずく,"to stumble, to trip",,,
退く,しりぞく,"to retreat, to recede, to withdraw",,,
頂く,いただく,"to receive, to take food or drink",,,
貫く,つらぬく,to go through,,,
導く,みちびく,"to be guided, to be shown",,,
傾く,かたぶく,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to",,,
欺く,あざむく,to deceive,,,
赴く,おもむく,"to go, to proceed, to repair to, to become",,,
傾く,かたむく,"to incline toward, to slant, to lurch ",,,
輝く,かがやく,"to shine, to glitter, to sparkle",,,
囁く,ささやく,"to whisper, to murmur ",,,
呟く,つぶやく,"to mutter, to murmur",,,
働く,はたらく,to work,,,
驚く,おどろく,to be surprised,,,
催す,もよおす,"to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick)",,,
促す,うながす,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)",,,
施す,ほどこす,"to donate, to give, to conduct, to apply, to perform",,,
表す,あらわす,"to express, to show, to reveal",,,
現す,あらわす,"to show, to indicate, to display",,,
著す,あらわす,"to write, to publish",,,
耕す,たがやす,"to till, to plow, to cultivate ",,,
楽む,たのしむ,to enjoy oneself ,,,
慎む,つつしむ,"to be careful, to be chaste or discreet, to abstain or refrain",,,
営む,いとなむ,"to carry on (e.g. in ceremony), to run a business",,,
羨む,うらやむ,to envy,,,
喜ぶ,よろこぶ,to be delighted,,,
尊ぶ,たっとぶ,"to value, to prize, to esteem",,,
遮る,さえぎる,"to interrupt, to intercept, to obstruct",,,
罵る,ののしる,"to speak ill of, to abuse",,,
囀る,さえずる,"to sing, to chirp, to twitter",,,
怠る,おこたる,"to neglect, to be off guard, to be feeling better",,,
操る,あやつる,"to manipulate, to operate, to pull strings",,,
捗る,はかどる,"to make progress, to move right ahead (with the work), to advance",,,
喋る,しゃべる,"to talk, to chat, to chatter ",,,
謝る,あやまる,to apologize,,,
誤る,あやまる,to make a mistake,,,
葬る,ほうむる,"to bury, to inter, to entomb, to consign to oblivion, to shelve ",,,
偏る,かたよる,"to be one-sided, to incline, to be partial, to be prejudiced, to lean, to be biased",,,
労る,いたわる,"to pity, to sympathize with, to console, to care for, to be kind to",,,
断る,ことわる,"to refuse, to decline, to dismiss",,,
賜る,たまわる,"to grant, to bestow",,,
覆す,くつがえす,"to overturn, to upset, to overthrow, to undermine",,,
志す,こころざす,"to plan, to intend, to aspire to, to set aims (sights on)",,,
蘇る,よみがえる,"to be resurrected, to be revived, to be resuscitated, to be rehabilitated",,,
滞る,とどこおる,"to stagnate, to be delayed",,,
謙る,へりくだる,to deprecate oneself and praise the listener,intrans.,へりくだった態度。,An attitude of humility.
奉る,たてまつる,"to offer, to present, to revere, to do respectfully",,,
司る,つかさどる,"to rule, to govern, to administer",,,
遡る,さかのぼる,"to go back, to go upstream, to make retroactive",,,
向かう,むかう,to face,,,
揺らぐ,ゆらぐ,"to swing, to sway, to shake, to tremble",,,
基づく,もとづく,"to be grounded on, to be based on, to be due to, to originate from ",,,
明かす,あかす,"to pass, spend, to reveal, to divulge",,,
生かす,いかす,"to revive, to resuscitate, to make use of",,,
急かす,せかす,"to hurry, to urge on",,,
溶かす,とかす,"to melt, to dissolve",,,
抜かす,ぬかす,"to omit, to leave out",,,
負かす,まかす,to defeat,,,
沸かす,わかす,"to boil, to heat",,,
焦がす,こがす,"to burn, to scorch, to singe, to char",,,
逃がす,にがす,"to let loose, to set free, to let escape",,,
剥がす,はがす,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach",,,
尽くす,つくす,"to exhaust, to run out, to serve (a person), to befriend",,,
無くす,なくす,to lose something,,,
亡くす,なくす,to lose someone,,,
起こす,おこす,"to raise, to cause, to wake someone",,,
寄こす,よこす,"to send, to forward",,,
過ごす,すごす,"to pass, to spend, to go through, to tide over",,,
果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve",,,
満たす,みたす,"to satisfy, to ingratiate, to fill, to fulfill",,,
落とす,おとす,"to drop, to lose, to let fall ",,,
飛ばす,とばす,"to skip over, to omit",,,
伸ばす,のばす,"to lengthen, to stretch, to reach out, to grow (beard)",,,
延ばす,のばす,"to lengthen, to stretch, to reach out, to grow (beard)",,,
覚ます,さます,to awaken,,,
冷ます,さます,"to cool, to dampen, to let cool",,,
済ます,すます,"to finish, to get it over with, to settle, to conclude, to pay back",,,
澄ます,すます,"to clear, to make clear, to be unruffled, to look unconcerned, to look demure, look prim, put on airs",,,
生やす,はやす,"to grow, to cultivate, to wear beard",trans.,あごひげを生やし始めた。,
冷やす,ひやす,"to cool, to refrigerate",,,
増やす,ふやす,"to increase, to add to, to augment ",,,
殖やす,ふやす,"to increase, to add to, to augment ",,,
燃やす,もやす,to burn,,,
荒らす,あらす,"to lay waste, to devastate, to damage, to invade, to break into ",,,
暮らす,くらす,"to live, to get along",,,
逸らす,そらす,"to turn away, to avert ",,,
散らす,ちらす,"to scatter, to disperse, to distribute",,,
照らす,てらす,"to shine on, to illuminate",,,
鳴らす,ならす,"to ring, to sound, to chime, to beat, to snort (nose)",,,
慣らす,ならす,to accustom,,,
馴らす,ならす,"to domesticate, to tame",,,
濡らす,ぬらす,"to wet, to soak, to dip",,,
減らす,へらす,"to abate, to decrease, to diminish, to shorten ",,,
漏らす,もらす,"to let leak, to reveal",,,
ずらす,ずらす,"to put off, to delay",,,
降ろす,おろす,"to take down, to launch, to drop ",,,
合わす,あわす,"to join together, to face, to unite, to be opposite, to combine, to connect",,,
交わす,かわす,"to exchange (messages), to dodge, to parry, to avoid, to turn aside",,,
浮かぶ,うかぶ,"to float, to rise to surface, to come to mind",,,
悔やむ,くやむ,to mourn,,,
老いる,おいる,"to age, to grow old",,,
強いる,しいる,"to force, to compel, to coerce",,,
