W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
設備,equipment,九月,september,上る,coming up,面接,interview,十分,enough,跳ね上げる,throw up
二日,"2 days, 2nd day",来月,next month,取得,acquisition,例外,exception,永遠,eternal,膨れ上がる,swell up
日没,sunset,余裕,margin,甘い,sweet,演説者,speaker,パブ,a pub,込み上げる,fill (one's heart)
晴れ,sunny,合併,merger,日,"sun, day",充電する,to charge,巡る,going around,寝込む,fall asleep
早い,fast,弱まる,weaken,両論,both argument,請求書,"an invoice, a bill",不動産業者,an estate agent,乗り込む,get in
受け入れ,receiving,セール中,on sale,売買,buying and selling,中古,used,溢れる,overflowing,舞い上がる,soar
時間,time,月給,monthly salary,巨悪,great evil,間接税,indirect tax,相手,partner,曲がり込む,bend in
一部分,part of,お医者さん,doctor,小売施設,retail facilities,乳首,nipple,完了,"completion, conclusion",繰り上がる,"move up (date, rank, etc)"
可視性,the visibility,社会科学,social science,コンセント,an outlet,母乳,mother's milk,男性に限らず,not limited to men,縫い上がる,stitch up
夕日,sunset,協定,agreement,人並み,ordinary,混乱,"disorder, chaos",鉄砲,gun,貯め込む,stockpile
受け入れる,to accept,自然科学,natural science,道具,tool,下調べ,preliminary investigation,論争,"dispute, argument",煎り上がる,be roasted
受動喫煙,second-hand smoking,火力,fire power,無料試用,a free trial,調節,regulation,声,voice,誘い込む,invite in
警告,a warning,得意,"satisfaction, strong point",優しい,gentle,慎重,careful,発売,sale,刈り込む,trim
受賞者,prize-winner,中央車線,middle lane,単価,unit price,一生,life,スラム街,the slums,付け込む,soak
日差し,sunlight,注意,"attention, notice, caution",両名,both persons,宣伝すること,to advertise,作り上げる,build up,練り上がる,kneaded
日除け,sunshade,中身,content,丹頂,Japanese crane,かき回す,churn,我が国,our country,取り込む,take in
募集,recruitment,費やす,spend,参る,coming,徐行,slow,市場の場所,a marketplace,煮え上がる,come to a boil
基づく,based on,損傷する,to damage,ビジネス,a business,不節制,excesses,国によって,depending on the country,織り上がる,weave up
本部,headquarters,良心,conscience,両足,both feet,移転,relocation,舗装,the pavement,茹で上げる,boil up
霜,frost,敏感,sensitive,印刷,print,施設,institution,証券,securities,蒸し上がる,steam up
投げ付ける,to throw at,科学,scientific,巨利,huge profit,取り消す,to cancel an order,室内,indoor,祀り込む,enshrine
トワイライト,twilight,誠実,integrity,販売地域,sales territory,父,father,絵本,picture book,腫れ上がる,swell up
部屋,room,工夫,ingenuity,両社,both companies,設立,establishment,地下鉄,a subway,縒り上げる,twist
書く,write,三月,march,歩きにくい,hard to walk,納得させる,to convince,抗争,"dispute, resistance",叩き込む,beat into
修了,completion,受験,examine,商品,merchandise,お兄さん,big brother,比べる,compare,埋もれ込む,immerse
渋い,reluctant,食べた後で,after eating,対策,measures,乳酸,lactic acid,銀河,milky way,起き上がる,get up
その日の展望,the outlook for the day,意識,"consciousness, awareness",申し訳,sorry,忙しいので,since I’m busy,忙しい,busy,握り込む,grab into
翻訳,translation,旅行かばん,a travelbag,説教,sermon,範囲,a range,街灯,a street lamp,凹み込む,depressed
数日間,a few days,英雄,heroism,高原,plateau,子会社,a subsidiary,段,stage,語り込む,talk into
受け持ち,charge (of something),計,measure,国内貿易,the domestic trade,乾く,to get dry,飲んだ後,after drinking,含み込む,contain
受動的,passive,火種,sparks,丹精,working earnestly,一日,one day,市役所,municipal office,縛り上げる,tie up
棄権,abstain,神経科,neurology,両立,both,男子,men,亜硫酸,sulfurous acid,編み上がる,weave up
受け取る,"to receive, to accept",旅行代理店,a travel agent,競争情報,competitive intelligence,閉まる,close,カフェ,a café,啜り込む,sip
弱る,weak,産科,obstetrics,二,two,都合にかかわりなく,regardless of the situation,布石,groundwork,混ぜ込む,mix in
巨大,giant,内科医,"physician, internist",売り上げ,sales,販売代理店,a sales representative,商売,business,買い上げる,buy up
歩く,walk,業界,the industry,国交,diplomatic relations,五,five,瑣末,trivial,躍り込む,leap into
水たまり,a puddle,翌月,next month,運,luck,顔つき,face,花盛り,flowers in full bloom,結い上がる,be tied up
スノーフレーク,a snowflake,美しい,beautiful,頑張る,work hard,解放,liberation,初めて,first time,浮き上がる,rise to the surface
性別による,base on gender,信用,trust,販売目標,sales target,ご主人,your husband,亜空間,subspace,囲い込む,enclose
会う,meet,意外,unexpected,部門,a department,八つ,eight,子役,child actor,掬い込む,scoop up
受託,being entrusted with,食糧不足,a food shortage,お客様,customers,女優として,as an actress,朝日,morning sun,誉め上げる,praise
広い,wide,業界,the industry,頼る,rely on,減少する,to decrease,喜びのあまり,so much joy,茹で上げる,boil up
起きる,get up,交わす,exchange,勤労,labor,調査,a survey,主観的,subjective,困り込む,be troubled
一帯,one area,説く,explain,一面,one side,乱れる,to be disordered,世界銀行,world bank,釣り込む,bring in
問題について,about the problem,街と言ったら,speaking of city,空く,empty,年賀,new year's eve,休み,rest,迫り上がる,loom up
満月,full moon,点火,ignition,包装,a packaging,乱闘,fighting,開花,開花,舞い上げる,dance up
日の出,the sunrise,月光,moonlight,生理,menstruation,夏,summer,些とも,(not) at all,炊き上がる,boil up
進攻,"attack, advance",製造,production,巨費,great cost,移設,relocation,葉巻,cigar,蒸し上げる,steam up
窮屈,cramped,前月,previous month,他意,other intention,防音設備,soundproofing,気絶しないうちに,before I pass out,盛り上がる,rise
入れる,let in,歳月,"time, years",進路,the way forward,勝つために,to win,開放,open,カチコむ,be in a tight spot
毎日,every day,会計,accounting,実施,implementation,接吻,kiss,意見,opinion,茹で上がる,boil up
競技,"game, match",花火,fireworks,お金の価値,the value for money,大きい,big,トイレ,the rest room,押し込む,push in
別,different,周囲,surroundings,並木,roadside tree,男,man,寄りかかる,lean on,禿げ上がる,go bald
忠告,advice,飢え死に,to die of hunger,今週,this week,未婚,unmarried,就任,inauguration,封じ込む,seal in
日本海,sea of japan,教え,teaching,両端,Both ends,無効,disabled,銅貨,copper coin,踏み込む,step into
熱帯雨,a tropical rain,雑談,chit chat,町並み,townscape,節電,brownout,疑う,doubt,染み込む,soak in
追い越し車線,"outside lane, passing lane",税金,taxes,買収,an acquisition,聞き取り,listening,率直,frankness,捲り込む,crowd in
主食,staple food,白い,white,水曜日,wednesday,所有する,to own,草花,flowering plant,老い込む,grow old
猛暑,a heat wave,料金所,tollgate,富む,wealth,八,eight,闘争,"fight, battle",申し込む,apply for
付いてる,"to be lucky, to be included",博士,doctor,関税,customs duties,同封,enclosed,郵便局,a post office,駆け上がる,run up
花と言えば,speaking of flowers,景気,economy,背,back,チェックする,to check,完了,completion,詠み込む,recite
受益者,beneficiary,券,ticket,持参,Bring,強い,strong,主役,leading part,注ぎ込む,infuse
受賞,winning (a prize),弱火,weak fire,軒並み,row of houses,必死,desperate,天気次第で,depends on weather,叩き込む,beat into
走る,run,人道援助,humanitarian aid,予算,a budget,節回し,melody,汚れた,dirty,読み上げる,read out loud
紙,paper,ハリケーン,a hurricane,書き上げた,done writing,高校生,high school student,水をやる,water the plants,丸め込む,round up
数日,several days,座る,sit,解雇,a dismissal,多数決,majority decision,案内役,"guide, host",蹴り上げる,kick up
ドライ,dry,水没する,to submerge,不得意,one's weak point,開発する,to develop,葉,leaf,屈み込む,bend over
雨が降る,to rain,優れる,superior,要る,need,礼節,decorum,鉄鋼,iron and steel,蹌踉け込む,stagger
受容器,receptor,理科,science,巨大,huge,防ぐ,prevent,考えつつも,while thinking,掘り込む,dig into
売れ筋,well-selling line,犠牲者リスト,a casualty list,人柄,personality,商店,stores,独特,unique,隠し込む,hide
暑くて暖かい,hot and warm,旧正月,lunar new year,前提,the premises,政党,political party,役に立つ,to be helpful,病み上がる,become sick
待ち遠しい,longing for,協議,consultation,関心,an interest,観衆,spectators,路線図,route map,大きな望みを持つ,have great hopes
日中,daytime,耐火,fire resistance,鉄道,railroad,注文する,to order,銅線,copper wire,失望する,disappointed.
風,the wind,火砕流,pyroclastic flow,支払い,a payment,多い一方,while there are many,合言葉,password,切望する,longing
享受,reception,溶岩,lava,資産,an assets,ストライキ,a strike,観光スポット,the sights,望遠鏡,telescope
衣料,clothing,医学的,medecine,価格,a price,輝く,shine,通訳,interpreting,大望をいだく,have great hopes
お互い,each other,食品の発送,a food shipment,両氏,both persons,接線,tangent line,魅了,fascination,スターを夢見る,dreaming of a star
受け渡し,"delivery, transfer",鎮火,extinguishing fire,悪意,ill will,辛い,hard,紛争,"dispute, conflict",初夢,first dream
顔,face,通じる,communicate,串揚げ,kushiage,注ぎ込む,to invest,相互銀行,mutual savings bank,夢物語,dreaming stories
軽快,nimble,収益性,the profitability,万年筆,fountain pen,急ぐことはない,there's no rush,青銅器,bronze ware,悪夢,nightmare
学生,student,勉強,study,意図的,intentional,設計,plan,消える,disappear,恋する,falling in love
形式,formality,見つける,find,程,extent,接地,grounding,銀行,banking,恋人,lover
梅雨,the rainy season,吹雪,a snowstorm,寄せる,send,関節,joints,恐らく,probably,母が恋しい,i miss my mother
平日,weekday,謎,mystery,玉,jade,九,nine,国境,border,家を恋しがる,i miss my home
金曜日,friday,意見,opinion,債権者,a creditor,五つ,five,井筒,well curb,失恋する,i miss my heart
表現すればいい,just express it,微妙,subtle,抵抗,resistance,締め切り,a deadline,商業銀行,commercial bank,初恋,first love
雨の,rainy,値する,value,構成,composition,共に,with,新鮮,fresh,恋文,love letters
チケット,a ticket,火傷,burns,両岸,both banks,通りを渡る,to cross the street,死者,dead,子供を愛する,love for a child
公正,fair,安全に到達する,to reach safety,大学生,college student,縮まる,shrink,銀座,ginza,母の愛,mother's love
雷,the thunder,歯科医,dentist,消費者,a consumer,休学,absence from school,城壁,the ramparts,愛情,affection
追う,chase,下火,lower fire,市場,the market,間接的,indirect,昨夜,last night,恋愛する,fall in love
見合い,seeing each other,火花,sparks,表面,surface,改革,reform,公園,a park,恋愛小説,love novels
新婚,newlyweds,主要,main,二つ,two,大人,adult,下りる,going down,愛読書,love reading books
雨が降っている,it’s raining,取り扱い,handling,電車で,by train,裂ける,break,地区,a district,愛用する,love to use
慣れ,getting used to,罰,punishment,従業員,an employee,出す,let out,人権,human rights,愛用のカメラ,love cameras
