Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
26939,練り歩く,ねりあるく,,,,,,,,,
26939,思い煩う,おもいわずらう,,,,,,,,,
26939,取り落とす,とりおとす,,,,,,,,,
27350,吹っ掛ける,ふっかける,,,,,,,,,
27350,いかれる,いかれる,,,,,,,,,
27350,僻む,ひがむ,,,,,,,,,
27350,交尾む,つるむ,,,,,,,,,
27350,分かり合う,わかりあう,,,,,,,,,
27350,蒸し返す,むしかえす,,,,,,,,,
27350,叩き出す,たたきだす,,,,,,,,,
27350,罅割れる,ひびわれる,,,,,,,,,
27350,吊り下げる,つりさげる,,,,,,,,,
27350,蒸れる,むれる,,,,,,,,,
27350,切り返す,きりかえす,,,,,,,,,
27350,通じ合う,つうじあう,,,,,,,,,
27350,ひけらかす,ひけらかす,,,,,,,,,
27350,踏ん反る,ふんぞる,,,,,,,,,
27350,入り浸る,いりびたる,,,,,,,,,
27350,打っ掛ける,ぶっかける,,,,,,,,,
27350,御する,ぎょする,,,,,,,,,
27350,欹てる,そばだてる,,,,,,,,,
27350,垂れ込める,たれこめる,,,,,,,,,
27350,掻き乱す,かきみだす,,,,,,,,,
27350,焼き殺す,やきころす,,,,,,,,,
27350,思し召す,おぼしめす,,,,,,,,,
27350,成り代わる,なりかわる,,,,,,,,,
27350,若返る,わかがえる,,,,,,,,,
27350,打っ倒れる,ぶったおれる,,,,,,,,,
27350,啄む,ついばむ,,,,,,,,,
27350,言い争う,いいあらそう,,,,,,,,,
27350,坐す,います,,,,,,,,,
27350,見初める,みそめる,,,,,,,,,
27350,囲い込む,かこいこむ,,,,,,,,,
27350,約する,やくする,,,,,,,,,
27350,凭せ掛ける,もたせかける,,,,,,,,,
27350,打ち返す,うちかえす,,,,,,,,,
27350,眺め回す,ながめまわす,,,,,,,,,
27798,吹っ切れる,ふっきれる,,,,,,,,,
27798,噎せる,むせる,,,,,,,,,
27798,仕分ける,しわける,,,,,,,,,
27798,煮詰まる,につまる,,,,,,,,,
27798,抓る,つねる,,,,,,,,,
27798,見限る,みかぎる,,,,,,,,,
27798,欲張る,よくばる,,,,,,,,,
27798,掻い摘む,かいつまむ,,,,,,,,,
27798,腹立つ,はらだつ,,,,,,,,,
27798,見咎める,みとがめる,,,,,,,,,
27798,凍て付く,いてつく,,,,,,,,,
27798,搦め取る,からめとる,,,,,,,,,
27798,阿る,おもねる,,,,,,,,,
27798,計らう,はからう,,,,,,,,,
27798,選りすぐる,えりすぐる,,,,,,,,,
27798,迫り上がる,せりあがる,,,,,,,,,
27798,棚引く,たなびく,,,,,,,,,
27798,屠る,ほふる,,,,,,,,,
27798,臥す,ふす,,,,,,,,,
27798,勢い込む,いきおいこむ,,,,,,,,,
27798,祝する,しゅくする,,,,,,,,,
27798,炊き上がる,たきあがる,,,,,,,,,
27798,書き下ろす,かきおろす,,,,,,,,,
27798,眺め遣る,ながめやる,,,,,,,,,
27798,蒸らす,むらす,,,,,,,,,
27798,言い置く,いいおく,,,,,,,,,
27798,打ち上がる,うちあがる,,,,,,,,,
28238,騙し取る,だましとる,,,,,,,,,
28238,突っ撥ねる,つっぱねる,,,,,,,,,
28238,表立つ,おもてだつ,,,,,,,,,
28238,放く,こく,,,,,,,,,
28238,こじる,こじる,,,,,,,,,
28238,生る,なる,,,,,,,,,
28238,書かす,かかす,,,,,,,,,
28238,銘打つ,めいうつ,,,,,,,,,
28238,捻り出す,ひねりだす,,,,,,,,,
28238,誘い込む,さそいこむ,,,,,,,,,
28238,吹き荒ぶ,ふきすさぶ,,,,,,,,,
28238,行き当たる,いきあたる,,,,,,,,,
28238,引き立つ,ひきたつ,,,,,,,,,
28238,焼べる,くべる,,,,,,,,,
28238,葬り去る,ほうむりさる,,,,,,,,,
28238,勤まる,つとまる,,,,,,,,,
28238,砕け散る,,,,,,,,,,
28238,隠し持つ,かくしもつ,,,,,,,,,
28238,奪い去る,,,,,,,,,,
28238,拭い去る,ぬぐいさる,,,,,,,,,
28238,引き回す,ひきまわす,,,,,,,,,
28238,点す,とぼす,,,,,,,,,
28238,語らう,かたらう,,,,,,,,,
28238,免ずる,めんずる,,,,,,,,,
28238,負ぶう,おぶう,,,,,,,,,
28238,解き解す,ときほぐす,,,,,,,,,
28238,謝する,しゃする,,,,,,,,,
28238,言い伝える,いいつたえる,,,,,,,,,
28238,鍛え上げる,きたえあげる,,,,,,,,,
28238,くたばる,くたばる,,,,,,,,,
28238,建て替える,たてかえる,,,,,,,,,
28238,難ずる,なんずる,,,,,,,,,
28238,眩く,くるめく,,,,,,,,,
28688,調べ上げる,しらべあげる,,,,,,,,,
28688,事足りる,ことたりる,,,,,,,,,
28688,ほざく,ほざく,,,,,,,,,
28688,立ち回る,たちまわる,,,,,,,,,
28688,掠る,かする,,,,,,,,,
28688,奪い返す,,,,,,,,,,
28688,ませる,ませる,,,,,,,,,
28688,湯掻く,ゆがく,,,,,,,,,
28688,泊まり込む,とまりこむ,,,,,,,,,
28688,留め置く,とめおく,,,,,,,,,
28688,宣う,のたまう,,,,,,,,,
28688,産み落とす,うみおとす,,,,,,,,,
28688,打ち拉ぐ,うちひしぐ,,,,,,,,,
28688,塗り付ける,ぬりつける,,,,,,,,,
28688,復する,ふくする,,,,,,,,,
28688,転げる,ころげる,,,,,,,,,
28688,塗り込める,ぬりこめる,,,,,,,,,
28688,打ち倒す,うちたおす,,,,,,,,,
28688,寄り集まる,よりあつまる,,,,,,,,,
28688,叩きのめす,,,,,,,,,,
28688,担ぎ上げる,かつぎあげる,,,,,,,,,
28688,担ぎ込む,かつぎこむ,,,,,,,,,
28688,力付ける,ちからづける,,,,,,,,,
28688,有り付く,ありつく,,,,,,,,,
28688,誑かす,たぶらかす,,,,,,,,,
28688,打ち抜く,ぶちぬく,,,,,,,,,
28688,噎せ返る,むせかえる,,,,,,,,,
28688,躙り寄る,にじりよる,,,,,,,,,
28688,つんのめる,つんのめる,,,,,,,,,
28688,結び合う,むすびあう,,,,,,,,,
28688,言い淀む,いいよどむ,,,,,,,,,
28688,蔵する,ぞうする,,,,,,,,,
28688,参ずる,さんずる,,,,,,,,,
28688,巧む,たくむ,,,,,,,,,
28688,嫁する,かする,,,,,,,,,
28688,振り仰ぐ,ふりあおぐ,,,,,,,,,
28688,頷き返す,,,,,,,,,,
29169,行かす,いかす,,,,,,,,,
29169,落ちぶれる,おちぶれる,,,,,,,,,
29169,卸す,おろす,,,,,,,,,
29169,食らい付く,くらいつく,,,,,,,,,
29169,差し置く,さしおく,,,,,,,,,
29169,奪い合う,うばいあう,,,,,,,,,
29169,突き返す,つきかえす,,,,,,,,,
29169,塗りたくる,ぬりたくる,,,,,,,,,
29169,縫い付ける,ぬいつける,,,,,,,,,
29169,書き立てる,かきたてる,,,,,,,,,
29169,浴せ掛ける,あびせかける,,,,,,,,,
29169,煤ける,すすける,,,,,,,,,
29169,押し立てる,おしたてる,,,,,,,,,
29169,泣き崩れる,なきくずれる,,,,,,,,,
29169,見紛う,みまがう,,,,,,,,,
29169,乗り合わせる,のりあわせる,,,,,,,,,
29169,包み隠す,つつみかくす,,,,,,,,,
29169,飛び抜ける,とびぬける,,,,,,,,,
29169,皮肉る,ひにくる,,,,,,,,,
29169,勇む,いさむ,,,,,,,,,
29169,託ける,かこつける,,,,,,,,,
29169,酔い潰れる,よいつぶれる,,,,,,,,,
29169,窺い知る,うかがいしる,,,,,,,,,
29169,打ち負かす,うちまかす,,,,,,,,,
29169,痩せこける,やせこける,,,,,,,,,
29169,這い上る,はいのぼる,,,,,,,,,
29169,差し止める,さしとめる,,,,,,,,,
29169,落とし込む,おとしこむ,,,,,,,,,
29169,葺く,ふく,,,,,,,,,
29169,労する,ろうする,,,,,,,,,
29169,撫で回す,なでまわす,,,,,,,,,
29169,咲き誇る,さきほこる,,,,,,,,,
29169,仰せ付ける,,,,,,,,,,
29169,住する,じゅうする,,,,,,,,,
29659,取らす,とらす,,,,,,,,,
29659,為合う,しあう,,,,,,,,,
29659,足掻く,あがく,,,,,,,,,
29659,膨らます,ふくらます,,,,,,,,,
29659,ぶん殴る,ぶんなぐる,,,,,,,,,
29659,引っ括める,ひっくるめる,,,,,,,,,
29659,握り潰す,にぎりつぶす,,,,,,,,,
29659,掘り返す,ほりかえす,,,,,,,,,
29659,黴びる,,,,,,,,,,
29659,取り持つ,とりもつ,,,,,,,,,
29659,思わす,おもわす,,,,,,,,,
29659,言い包める,いいくるめる,,,,,,,,,
29659,巻き戻す,まきもどす,,,,,,,,,
29659,握り合う,にぎりあう,,,,,,,,,
29659,打ち合う,うちあう,,,,,,,,,
29659,居直る,いなおる,,,,,,,,,
29659,落ち零れる,おちこぼれる,,,,,,,,,
29659,立ち働く,たちはたらく,,,,,,,,,
29659,笑い合う,,,,,,,,,,
29659,打っぱなす,ぶっぱなす,,,,,,,,,
29659,逆立つ,さかだつ,,,,,,,,,
29659,習わせる,,,,,,,,,,
29659,貸し付ける,かしつける,,,,,,,,,
29659,待ち侘びる,まちわびる,,,,,,,,,
29659,荒ぶ,すさぶ,,,,,,,,,
29659,鞣す,,,,,,,,,,
29659,書き加える,かきくわえる,,,,,,,,,
29659,呼ばわる,よばわる,,,,,,,,,
29659,伝え合う,つたえあう,,,,,,,,,
29659,跳ね起きる,はねおきる,,,,,,,,,
29659,攻め入る,せめいる,,,,,,,,,
29659,此れ有り,,,,,,,,,,
29659,点てる,たてる,,,,,,,,,
29659,番える,つがえる,,,,,,,,,
29659,悔い改める,くいあらためる,,,,,,,,,
29659,焼き上げる,やきあげる,,,,,,,,,
29659,跡付ける,,,,,,,,,,
30141,手慣れる,てなれる,,,,,,,,,
30141,払い込む,はらいこむ,,,,,,,,,
30141,綻びる,ほころびる,,,,,,,,,
30141,弄う,いらう,,,,,,,,,
30141,のさばる,のさばる,,,,,,,,,
30141,入れ込む,いれこむ,,,,,,,,,
30141,切り揃える,きりそろえる,,,,,,,,,
30141,いわす,いわす,,,,,,,,,
30141,覚え込む,おぼえこむ,,,,,,,,,
30141,告る,こくる,,,,,,,,,
30141,こんがらかる,こんがらかる,,,,,,,,,
30141,忘れ掛ける,,,,,,,,,,
30141,呆れ返る,あきれかえる,,,,,,,,,
30141,覗き見る,のぞきみる,,,,,,,,,
30141,見誤る,みあやまる,,,,,,,,,
30141,乗り遅れる,のりおくれる,,,,,,,,,
30141,焼き上がる,やきあがる,,,,,,,,,
30141,説き伏せる,ときふせる,,,,,,,,,
30141,投げ打つ,なげうつ,,,,,,,,,
30141,迫り来る,,,,,,,,,,
30141,打ち据える,うちすえる,,,,,,,,,
30141,借り出す,かりだす,,,,,,,,,
30141,逆上せる,のぼせる,,,,,,,,,
30141,弾き飛ばす,,,,,,,,,,
30141,秘する,ひする,,,,,,,,,
30141,落ち延びる,おちのびる,,,,,,,,,
30141,突き崩す,つきくずす,,,,,,,,,
30141,泣き噦る,なきじゃくる,,,,,,,,,
30141,抱き留める,だきとめる,,,,,,,,,
30141,突き掛ける,つきかける,,,,,,,,,
30141,励まし合う,はげましあう,,,,,,,,,
30141,思い定める,おもいさだめる,,,,,,,,,
30141,利かす,きかす,,,,,,,,,
30141,売り歩く,うりあるく,,,,,,,,,
30141,這いずる,はいずる,,,,,,,,,
30141,抱き起こす,だきおこす,,,,,,,,,
30722,弄くる,いじくる,,,,,,,,,
30722,削れる,けずれる,,,,,,,,,
30722,羞じらう,はじらう,,,,,,,,,
30722,恵む,めぐむ,,,,,,,,,
30722,あぶれる,あぶれる,,,,,,,,,
30722,老け込む,ふけこむ,,,,,,,,,
30722,疎む,うとむ,,,,,,,,,
30722,紛う,まがう,,,,,,,,,
30722,のたうち回る,,,,,,,,,,
30722,進ぜる,しんぜる,,,,,,,,,
30722,掻い潜る,かいくぐる,,,,,,,,,
30722,殺し合う,,,,,,,,,,
30722,蹴り上げる,,,,,,,,,,
30722,論う,あげつらう,,,,,,,,,
30722,聞き届ける,ききとどける,,,,,,,,,
30722,揉み解す,もみほぐす,,,,,,,,,
30722,読み進める,よみすすめる,,,,,,,,,
30722,見え透く,みえすく,,,,,,,,,
30722,出し抜く,だしぬく,,,,,,,,,
30722,書き連ねる,かきつらねる,,,,,,,,,
30722,窶す,,,,,,,,,,
30722,消え入る,きえいる,,,,,,,,,
30722,振り返す,ぶりかえす,,,,,,,,,
30722,結わえる,ゆわえる,,,,,,,,,
30722,組み付く,くみつく,,,,,,,,,
30722,思い巡らす,おもいめぐらす,,,,,,,,,
30722,払い下げる,はらいさげる,,,,,,,,,
30722,流れ去る,,,,,,,,,,
30722,頽れる,くずおれる,,,,,,,,,
30722,払い落とす,はらいおとす,,,,,,,,,
30722,上向く,うわむく,,,,,,,,,
30722,歌い上げる,うたいあげる,,,,,,,,,
30722,借り入れる,かりいれる,,,,,,,,,
30722,勝ち残る,かちのこる,,,,,,,,,
30722,描き込む,かきこむ,,,,,,,,,
30722,独り言つ,ひとりごつ,,,,,,,,,
31286,縮れる,ちぢれる,,,,,,,,,
31286,捩じ伏せる,ねじふせる,,,,,,,,,
31286,肥やす,こやす,,,,,,,,,
31286,差さる,ささる,,,,,,,,,
31286,歌い出す,,,,,,,,,,
31286,錆び付く,さびつく,,,,,,,,,
31286,凪ぐ,なぐ,,,,,,,,,
31286,使い古す,つかいふるす,,,,,,,,,
31286,付け入る,つけいる,,,,,,,,,
31286,捩じ曲げる,ねじまげる,,,,,,,,,
31286,手繰り寄せる,たぐりよせる,,,,,,,,,
31286,成り上がる,なりあがる,,,,,,,,,
31286,言い含める,いいふくめる,,,,,,,,,
31286,逃げ延びる,にげのびる,,,,,,,,,
31286,ぶらつく,ぶらつく,,,,,,,,,
31286,激する,げきする,,,,,,,,,
31286,ずり落ちる,ずりおちる,,,,,,,,,
31286,体する,たいする,,,,,,,,,
31286,凭せる,もたせる,,,,,,,,,
31286,取り逃がす,とりにがす,,,,,,,,,
31286,劈く,つんざく,,,,,,,,,
31286,甚振る,いたぶる,,,,,,,,,
31286,逆立てる,さかだてる,,,,,,,,,
31286,紛らす,まぎらす,,,,,,,,,
31286,炙り出す,あぶりだす,,,,,,,,,
31286,勢い付く,いきおいづく,,,,,,,,,
31286,踏み越える,ふみこえる,,,,,,,,,
31286,芽吹く,めぶく,,,,,,,,,
31286,請じ入れる,しょうじいれる,,,,,,,,,
31286,乗り組む,のりくむ,,,,,,,,,
31286,梳く,すく,,,,,,,,,
31286,捲れ上がる,まくれあがる,,,,,,,,,
31286,叩き落す,たたきおとす,,,,,,,,,
31286,申し述べる,もうしのべる,,,,,,,,,
31286,飲み下す,のみくだす,,,,,,,,,
31286,呷る,あおる,,,,,,,,,
31286,突き固める,つきかためる,,,,,,,,,
31891,赤らむ,あからむ,,,,,,,,,
31891,出っ張る,でっぱる,,,,,,,,,
31891,掻き出す,かきだす,,,,,,,,,
31891,呼び合う,,,,,,,,,,
31891,禿びる,ちびる,,,,,,,,,
31891,ごねる,ごねる,,,,,,,,,
31891,打ち落とす,うちおとす,,,,,,,,,
31891,取り揃える,とりそろえる,,,,,,,,,
31891,盛り返す,もりかえす,,,,,,,,,
31891,退かす,どかす,,,,,,,,,
31891,恐れ戦く,,,,,,,,,,
31891,助け出す,たすけだす,,,,,,,,,
31891,取り計らう,とりはからう,,,,,,,,,
31891,ざわつく,ざわつく,,,,,,,,,
31891,叩き起こす,たたきおこす,,,,,,,,,
31891,いじける,いじける,,,,,,,,,
31891,扱き下ろす,こきおろす,,,,,,,,,
31891,飼い慣らす,かいならす,,,,,,,,,
31891,運び入れる,はこびいれる,,,,,,,,,
31891,運び去る,,,,,,,,,,
31891,飛び移る,とびうつる,,,,,,,,,
31891,背負わす,,,,,,,,,,
31891,骨張る,ほねばる,,,,,,,,,
31891,叩き割る,たたきわる,,,,,,,,,
31891,統べる,すべる,,,,,,,,,
31891,座らす,すわらす,,,,,,,,,
31891,遣り残す,やりのこす,,,,,,,,,
31891,殺める,あやめる,,,,,,,,,
31891,揺り動かす,ゆりうごかす,,,,,,,,,
31891,映ずる,えいずる,,,,,,,,,
31891,振り乱す,ふりみだす,,,,,,,,,
31891,表する,ひょうする,,,,,,,,,
31891,引っこ抜く,ひっこぬく,,,,,,,,,
31891,締め殺す,しめころす,,,,,,,,,
31891,削ぎ落とす,,,,,,,,,,
31891,血迷う,ちまよう,,,,,,,,,
31891,取り縋る,とりすがる,,,,,,,,,
31891,倦む,あぐむ,,,,,,,,,
31891,たゆたう,たゆたう,,,,,,,,,
31891,禿げ上がる,,,,,,,,,,
31891,引っ掴む,ひっつかむ,,,,,,,,,
31891,諂う,へつらう,,,,,,,,,
31891,宣する,せんする,,,,,,,,,
31891,蒸かす,ふかす,,,,,,,,,
31891,現われ出る,,,,,,,,,,
31891,縺れ合う,,,,,,,,,,
32501,褪せる,あせる,,,,,,,,,
32501,度する,どする,,,,,,,,,
32501,買い占める,かいしめる,,,,,,,,,
32501,褒めちぎる,ほめちぎる,,,,,,,,,
32501,詰め替える,つめかえる,,,,,,,,,
32501,投げ返す,,,,,,,,,,
32501,撰する,せんする,,,,,,,,,
32501,打ち当たる,ぶちあたる,,,,,,,,,
32501,食い潰す,くいつぶす,,,,,,,,,
32501,寝取る,ねとる,,,,,,,,,
32501,炊ぐ,かしぐ,,,,,,,,,
32501,咽ぶ,むせぶ,,,,,,,,,
32501,張り巡らせる,,,,,,,,,,
32501,寝かし付ける,ねかしつける,,,,,,,,,
32501,破り捨てる,,,,,,,,,,
32501,迸り出る,,,,,,,,,,
32501,抱き込む,だきこむ,,,,,,,,,
32501,苔むす,こけむす,,,,,,,,,
32501,出掛かる,でかかる,,,,,,,,,
32501,流れ着く,,,,,,,,,,
32501,へし折る,へしおる,,,,,,,,,
32501,焼け死ぬ,やけしぬ,,,,,,,,,
32501,通い合う,,,,,,,,,,
32501,誘き寄せる,おびきよせる,,,,,,,,,
32501,窺い知れる,,,,,,,,,,
32501,産する,さんする,,,,,,,,,
32501,躍り上がる,おどりあがる,,,,,,,,,
32501,掴み掛かる,,,,,,,,,,
32501,煮え滾る,にえたぎる,,,,,,,,,
32501,立ち行く,たちゆく,,,,,,,,,
32501,張り合わせる,,,,,,,,,,
32501,取り結ぶ,とりむすぶ,,,,,,,,,
32501,睨み返す,にらみかえす,,,,,,,,,
32501,叩き切る,たたききる,,,,,,,,,
32501,急く,せく,,,,,,,,,
32501,わななく,わななく,,,,,,,,,
32501,抱き竦める,だきすくめる,,,,,,,,,
32501,切り下ろす,きりおろす,,,,,,,,,
33119,気張る,きばる,,,,,,,,,
33119,差し替える,さしかえる,,,,,,,,,
33119,打っ飛ばす,,,,,,,,,,
33119,買い足す,かいたす,,,,,,,,,
33119,殴り殺す,なぐりころす,,,,,,,,,
33119,ふやける,ふやける,,,,,,,,,
33119,やっかむ,やっかむ,,,,,,,,,
33119,盾突く,たてつく,,,,,,,,,
33119,売り飛ばす,うりとばす,,,,,,,,,
33119,呼び集める,よびあつめる,,,,,,,,,
33119,伸る,のる,,,,,,,,,
33119,眠りこける,ねむりこける,,,,,,,,,
33119,押し広げる,おしひろげる,,,,,,,,,
33119,譲り渡す,ゆずりわたす,,,,,,,,,
33119,捲り上げる,まくりあげる,,,,,,,,,
33119,憩う,いこう,,,,,,,,,
33119,はち切れる,はちきれる,,,,,,,,,
33119,出揃う,でそろう,,,,,,,,,
33119,食い繋ぐ,くいつなぐ,,,,,,,,,
33119,踊り狂う,おどりくるう,,,,,,,,,
33119,蹴落とす,けおとす,,,,,,,,,
33119,召し上げる,めしあげる,,,,,,,,,
33119,焼け出す,,,,,,,,,,
33119,補い合う,おぎないあう,,,,,,,,,
33119,寄せ集める,よせあつめる,,,,,,,,,
33119,掬い取る,すくいとる,,,,,,,,,
33119,顕わす,あらわす,,,,,,,,,
33119,語り伝える,かたりつたえる,,,,,,,,,
33119,追い縋る,おいすがる,,,,,,,,,
33119,ど突く,どつく,,,,,,,,,
33119,誦する,,,,,,,,,,
33119,喚き散らす,,,,,,,,,,
33770,まごつく,まごつく,,,,,,,,,
33770,まします,まします,,,,,,,,,
33770,買い漁る,かいあさる,,,,,,,,,
33770,言い知れる,,,,,,,,,,
33770,撮み出す,つまみだす,,,,,,,,,
33770,ちくる,,,,,,,,,,
33770,すっぽかす,すっぽかす,,,,,,,,,
33770,啀み合う,いがみあう,,,,,,,,,
33770,張り裂ける,はりさける,,,,,,,,,
33770,押し止める,,,,,,,,,,
33770,並び立つ,ならびたつ,,,,,,,,,
33770,荒げる,あらげる,,,,,,,,,
33770,射止める,いとめる,,,,,,,,,
33770,返り咲く,かえりざく,,,,,,,,,
33770,端折る,,,,,,,,,,
33770,這い出る,はいでる,,,,,,,,,
33770,痩せ衰える,やせおとろえる,,,,,,,,,
33770,長らえる,ながらえる,,,,,,,,,
33770,驕る,おごる,,,,,,,,,
33770,待ち焦がれる,まちこがれる,,,,,,,,,
33770,買い与える,,,,,,,,,,
33770,示し合わせる,しめしあわせる,,,,,,,,,
33770,踏み鳴らす,ふみならす,,,,,,,,,
33770,鬩ぎ合う,せめぎあう,,,,,,,,,
33770,噛み潰す,かみつぶす,,,,,,,,,
33770,仰せ付かる,おおせつかる,,,,,,,,,
33770,追い落とす,おいおとす,,,,,,,,,
33770,待ち伏せる,まちぶせる,,,,,,,,,
33770,叙する,じょする,,,,,,,,,
