W1,T1,W2,T2,W3,T3,W4,T4,W5,T5
追い越し車線,"outside lane, passing lane",税金,taxes,買収,an acquisition,聞き取り,listening,率直,frankness
主食,staple food,白い,white,水曜日,wednesday,所有する,to own,草花,flowering plant
猛暑,a heat wave,料金所,tollgate,富む,wealth,八,eight,闘争,"fight, battle"
付いてる,"to be lucky, to be included",博士,doctor,関税,customs duties,同封,enclosed,郵便局,a post office
花と言えば,speaking of flowers,景気,economy,背,back,チェックする,to check,完了,completion
受益者,beneficiary,券,ticket,持参,Bring,強い,strong,主役,leading part
受賞,winning (a prize),弱火,weak fire,軒並み,row of houses,必死,desperate,天気次第で,depends on weather
走る,run,人道援助,humanitarian aid,予算,a budget,節回し,melody,汚れた,dirty
紙,paper,ハリケーン,a hurricane,書き上げた,done writing,高校生,high school student,水をやる,water the plants
数日,several days,座る,sit,解雇,a dismissal,多数決,majority decision,案内役,"guide, host"
ドライ,dry,水没する,to submerge,不得意,one's weak point,開発する,to develop,葉,leaf
雨が降る,to rain,優れる,superior,要る,need,礼節,decorum,鉄鋼,iron and steel
受容器,receptor,理科,science,巨大,huge,防ぐ,prevent,考えつつも,while thinking
売れ筋,well-selling line,犠牲者リスト,a casualty list,人柄,personality,商店,stores,独特,unique
暑くて暖かい,hot and warm,旧正月,lunar new year,前提,the premises,政党,political party,役に立つ,to be helpful
待ち遠しい,longing for,協議,consultation,関心,an interest,観衆,spectators,路線図,route map
日中,daytime,耐火,fire resistance,鉄道,railroad,注文する,to order,銅線,copper wire
風,the wind,火砕流,pyroclastic flow,支払い,a payment,多い一方,while there are many,合言葉,password
享受,reception,溶岩,lava,資産,an assets,ストライキ,a strike,観光スポット,the sights
衣料,clothing,医学的,medecine,価格,a price,輝く,shine,通訳,interpreting
お互い,each other,食品の発送,a food shipment,両氏,both persons,接線,tangent line,魅了,fascination
受け渡し,"delivery, transfer",鎮火,extinguishing fire,悪意,ill will,辛い,hard,紛争,"dispute, conflict"
顔,face,通じる,communicate,串揚げ,kushiage,注ぎ込む,to invest,相互銀行,mutual savings bank
軽快,nimble,収益性,the profitability,万年筆,fountain pen,急ぐことはない,there's no rush,青銅器,bronze ware
学生,student,勉強,study,意図的,intentional,設計,plan,消える,disappear
形式,formality,見つける,find,程,extent,接地,grounding,銀行,banking
梅雨,the rainy season,吹雪,a snowstorm,寄せる,send,関節,joints,恐らく,probably
平日,weekday,謎,mystery,玉,jade,九,nine,国境,border
金曜日,friday,意見,opinion,債権者,a creditor,五つ,five,井筒,well curb
表現すればいい,just express it,微妙,subtle,抵抗,resistance,締め切り,a deadline,商業銀行,commercial bank
雨の,rainy,値する,value,構成,composition,共に,with,新鮮,fresh
チケット,a ticket,火傷,burns,両岸,both banks,通りを渡る,to cross the street,死者,dead
公正,fair,安全に到達する,to reach safety,大学生,college student,縮まる,shrink,銀座,ginza
雷,the thunder,歯科医,dentist,消費者,a consumer,休学,absence from school,城壁,the ramparts
追う,chase,下火,lower fire,市場,the market,間接的,indirect,昨夜,last night
見合い,seeing each other,火花,sparks,表面,surface,改革,reform,公園,a park
新婚,newlyweds,主要,main,二つ,two,大人,adult,下りる,going down
雨が降っている,it’s raining,取り扱い,handling,電車で,by train,裂ける,break,地区,a district
慣れ,getting used to,罰,punishment,従業員,an employee,出す,let out,人権,human rights
日暮れ,"twilight, sunset",断言できればいい,I wish I could assure you,飛行機で,by plane,及ばない,"unnecessary, unattainable",買収,takeover
関連,related,緊急用毛布,an emergency blanket,両方向,both directions,休む,rest,事故,accident
本日,today,成長,the growth,トレード,trade,袋麺,instant noodles,金利,interest rate
虹,a rainbow,月間,month-long period,入学した以上,as long as you are enrolled,見つかる,find,響く,echo
沸騰,boiling,脱水,dehydration,学説,theory,接戦,close contest,黒い,black
成立,establishment,消防ホース,a fire hose,ライフサイクル,life cycle,直接税,direct tax,騒々しい,noisy
受付係,receptionist,避難する,to evacuate,降参,descending,素直,honest,求人,jobs
下痢,diarrhea,笑顔,smile,得意先,(regular) customer,促進する,to promote,石油,"oil, petroleum"
優勝,winner,月曜日,monday,歯並び,row of teeth,貧乏,"poverty-stricken, destitute",世論,public opinion
訴える,appeal,洪水,flooding,久しい,long time has passed,節制,moderation,男性に比べ,compared to men
燃える,blazing,被災地,a disaster zone,重ねる,overlap,入国審査,passport control,写真,photo
翌日,next day,火山噴火,a volcanic eruption,測定,measure,市場シェア,a market share,スタジアム,a stadium
一日,"1 day, 1st day",旅行保険,a travel insurance,申し出る,offer,電力,power,試金石,touchstone
彼女,her,乏しい,scarce,伝説,tradition,見ずに,without seeing,砂糖,sugar
問屋,wholesaler,足,feet,車で,by car,綺麗,beautiful,兵役,military service
日付,date,貴重,valuable,丹念,"careful, meticulous",販売,sales,重役会,board of directors
知る,know,人文科学,humanities,多分,maybe,年齢に応おうじて,according to age,覚悟,preparedness
火曜日,tuesday,気持ち,feelings,報告,reporting,観客,spectator,最強,the strongest
蒸発させる,to evaporate,飢饉,famine,銀行口座,a bank account,努力次第で,depending on efforts,醜い,ugly
受ける,to receive,要求する,demand,丼もの,rice bowl dish,密接,"close, intimate",役者,actor
戻るべきだ,should go back,抱く,hold,巨体,huge body,減る一方だ,It's diminishing,私鉄,private railway
地区,"district, section",自転車,bicycle,利子,interest,賃金表,a wage scale,建て前,construction
雨,the rain,乾いた呪文,a dry spell,後ろ,back,到達すること,to reach,減る,decrease
受け流す,to ward off,あふれさせる,to flood,両人,both persons,言いつつ,while saying,裁判所、裁判所,a courthouse
暴風,the windstorm,粉砕する,to crush,取締役会,a board of directors,研究費,research funds,神様,god
確実,certainty,無意味,nonsense,済ます,finish,従業員,an employee,銅板,copperplate
高める,raise,火の玉,fireball,衰える,fade,実力,real power,立体駐車場,a multi-storey car park
削除,remove,製作,production,筆者,author,設備,equipment,続ける,continue
日本一,japan's best,火災警報,fire alarm,板,board,企業,a corporation,虚しい,empty
温度計,a thermometer,死者数,a death toll,昼,noon,常設,standing (committee),追放,expulsion
誕生日,birthday,理性,reason,売り込み,a sales pitch,意義,significance,鉄棒,iron rod
割り当て,assignment,四月,april,両替人,money exchanger,性能,performance,郊外,the suburbs
動力,motive power,死亡,death,美しいばかりでなく,not only beautiful,乱す,"to disarrange, to disturb",落ち葉,fallen leaves
悩んだ挙句,after much worry,八百屋,grocery store,倉庫,a warehouse,早乙女,young girl,勝つ,victory
送り仮名,sending name,意図,"intention, aim, design",回転,rotate,税関,customs,忙しい,busy
午後,afternoon,振り,swing,利益,a profit,欄,column,観光客,a tourist
近日,near future,倒産,bankruptcy,最終価格,the final price,度忘れ,forgetting something,石,stone
哲学,philosophy,送る,send,辞意,intention to resign,僕,i,交わる,intersect
竜巻,a tornado,八月,august,意思決定,decision-making,動く,move,不安定,unstable
雨水,rainwater,パニック,the panic,説得,persuasion,乱す,disturb,谷,valley
霧雨に,to drizzle,秋,fall,好意的,favorable,乱雑,"disorder, mess",総裁,president
栄える,flourish,手数料,charge,払い戻し,refund,標的,a target,嫌う,hate
会計,accounting,同僚とともに,with colleagues,買収,takeover,手,hand,辞典,dictionary
元日,new year's day,遠い,distant,案の定,as expected,反感,antipathy,通行人,a passer-by
貼り付ける,to paste,定年,age limit,ビジネス,the business,襟,collar,建てる,build
日課,daily routine,意向,"intention, idea, inclination",在庫,an inventory,下,down,満了,expiration
日本画,japanese painting,荒廃させる,to devastate,悲しい,sad,指す,point,争い,"dispute, strife"
受け付ける,to accept,猛暑,a heat wave,髪の毛,hair,生臭い,fishy,戦争,war
寝かせる,lay down,社会科,social studies,両性,both sexes,任せる,leave to,目覚まし時計,alarm clock
呼びかける,to hail,小火,small fires,魚串,skewered fish,答える,answer,不公平,injustice
待ち受ける,to await,空港,an airport,惜しむ,regret,広告,an advertisement,入場,admission
体格,physique,関税,tariff (import tax),当日,on the day,群衆,crowd,亜熱帯,subtropics
証明,proof,削る,shave,暑い,hot,破産する,to go bankrupt,成績によって,base on grades
傍受,interception,限界,limit,ベンチマーク,benchmarking,部品,parts,財布,purse
チケットコレクター,a ticket collector,消火器,fire extinguisher,丸一日,the whole day,七日,seven days,了解済み,"accepted, understood"
むち打ちする,to lash,大火,large fire,意識不明,"unconscious, senseless",研究方法,research methods,聞くにつけ,the more I hear
ツアー,a tour,協会,association,漏れる,leakage,特設,special installation,鉄,iron (Fe)
勤勉,diligence,新築,new construction,丸める,"to make round, to curl up",取り乱す,to be upset,衛生,hygiene
単位,unit,出火,fire starting,人参,Participant,遅延,delayed,銅山,copper mine
受信機,receiver,火災,fire,巨万,huge fortune,緩む,relax,相互作用,interaction
一日,one day,先月,last month,両軍,"both armies, both teams",高級,high class,愛情,affection
出来事,events,旅行日記,a travel diary,始まる,start,四つ,four,元宵節,lantern festival
体,body,五月,may,地形,terrain,波及,"spread, influence",観光シーズン,tourist season
結核,tuberculosis,農協,agricultural cooperative,真意,real intention,給与,a salary,美術館,a museum
受身,"the defensive, passive",意味,meaning,説得力,persuasiveness,乏しい,"scarce, limited",外国,foreign
日常生活,daily life,考えた挙句,after much thought,血管,blood vessels,切断,cutting,話せばいい,just talk to him
日常,everyday,簿記,bookkeeping,月並み,every month,錯乱,"confusion, distraction",重なる,overlap
降雪,the snowfall,火葬,cremation,時計,clock,直接関係,direct relation,週刊,weekly
四日,"4 days, 4th day",期間中,during,曇る,cloud,払い戻し,a refund,幸福,happiness
日取り,appointed day,勉強するために,to study,収益,revenue,接ぐ,to join,核戦争,nuclear warfare
便所,latrine,覚える,remember,割合,ratio,その節,at that time,亜種,subspecies
駆け落ちしてでも,even if we had to elope,同居,living together,両者,both persons,敷設,"laying (railroad, etc)",洗う,wash
